Rk,Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,Spread,vs. Line,Over/Under,OU Result
1,NYJ,2004,1/15/05,4:36,4:36,@,PIT,19,18,Sat,L 17-20,OT,9,covered,35.5,over
2,PIT,2005,1/15/06,1:04,1:04,@,IND,19,18,Sun,W 21-18,,8.5,covered,46.5,under
3,CLE,2002,1/5/03,1:01,1:01,@,PIT,18,17,Sun,L 33-36,,8,covered,43,over
4,MIN,2004,1/16/05,1:06,1:06,@,PHI,19,18,Sun,L 14-27,,8,not covered,47,under
5,ATL,2002,1/11/03,8:21,8:21,@,PHI,19,18,Sat,L 6-20,,7.5,not covered,38.5,under
6,SEA,2003,1/4/04,1:04,12:04,@,GNB,18,17,Sun,L 27-33,OT,7.5,covered,43.5,over
7,CAR,2003,1/10/04,4:30,3:30,@,STL,19,18,Sat,W 29-23,OT,7,covered,46,over
8,CAR,2003,2/1/04,6:25,5:25,N,NWE,21,20,Sun,L 29-32,,7,covered,38,over
9,PHI,2004,2/6/05,6:38,6:38,N,NWE,21,19,Sun,L 21-24,,7,covered,47,under
10,ATL,2002,1/4/03,8:08,7:08,@,GNB,18,17,Sat,W 27-7,,6.5,covered,40.5,under
11,CHI,2006,2/4/07,6:27,6:27,N,IND,21,19,Sun,L 17-29,,6.5,not covered,47,under
12,KAN,2006,1/6/07,4:35,4:35,@,IND,18,17,Sat,L 8-23,,6.5,not covered,51,under
13,ATL,2004,1/23/05,3:08,3:08,@,PHI,20,18,Sun,L 10-27,,6,not covered,37,push
14,IND,2002,1/4/03,4:39,4:39,@,NYJ,18,17,Sat,L 0-41,,6,not covered,42,under
15,MIN,2004,1/9/05,4:39,3:39,@,GNB,18,17,Sun,W 31-17,,6,covered,52.5,under
16,NYG,2006,1/7/07,4:39,4:39,@,PHI,18,17,Sun,L 20-23,,6,covered,46.5,under
17,TEN,2003,1/10/04,8:15,8:15,@,NWE,19,18,Sat,L 14-17,,6,covered,34,under
18,CAR,2005,1/22/06,6:47,3:47,@,SEA,20,19,Sun,L 14-34,,5.5,not covered,43,over
19,NYJ,2002,1/12/03,4:45,1:45,@,OAK,19,18,Sun,L 10-30,,5.5,not covered,47,under
20,CAR,2003,1/18/04,6:50,6:50,@,PHI,20,19,Sun,W 14-3,,4,covered,36.5,under
21,STL,2004,1/8/05,4:37,1:37,@,SEA,18,17,Sat,W 27-20,,4,covered,51,under
22,SEA,2005,2/5/06,6:27,6:27,N,PIT,21,19,Sun,L 10-21,,4,not covered,47,under
23,TAM,2002,1/26/03,6:26,3:26,N,OAK,20,19,Sun,W 48-21,,3.5,covered,44,over
